symbol,file,candles
BTC/USDT:USDT,backtest_data/BTC_USDT_USDT.csv,8652
ETH/USDT:USDT,backtest_data/ETH_USDT_USDT.csv,8652
SOL/USDT:USDT,backtest_data/SOL_USDT_USDT.csv,8652
XRP/USDT:USDT,backtest_data/XRP_USDT_USDT.csv,8652
HYPE/USDT:USDT,backtest_data/HYPE_USDT_USDT.csv,8652
XAUT/USDT:USDT,backtest_data/XAUT_USDT_USDT.csv,8652
AXS/USDT:USDT,backtest_data/AXS_USDT_USDT.csv,8652
PIPPIN/USDT:USDT,backtest_data/PIPPIN_USDT_USDT.csv,8652
DOGE/USDT:USDT,backtest_data/DOGE_USDT_USDT.csv,8652
BERA/USDT:USDT,backtest_data/BERA_USDT_USDT.csv,8652
1000PEPE/USDT:USDT,backtest_data/1000PEPE_USDT_USDT.csv,8652
GPS/USDT:USDT,backtest_data/GPS_USDT_USDT.csv,8652
ZKP/USDT:USDT,backtest_data/ZKP_USDT_USDT.csv,4753
SUI/USDT:USDT,backtest_data/SUI_USDT_USDT.csv,8652
ADA/USDT:USDT,backtest_data/ADA_USDT_USDT.csv,8652
ZEC/USDT:USDT,backtest_data/ZEC_USDT_USDT.csv,8652
ASTER/USDT:USDT,backtest_data/ASTER_USDT_USDT.csv,8652
BNB/USDT:USDT,backtest_data/BNB_USDT_USDT.csv,8652
LINK/USDT:USDT,backtest_data/LINK_USDT_USDT.csv,8652
FARTCOIN/USDT:USDT,backtest_data/FARTCOIN_USDT_USDT.csv,8652
RIVER/USDT:USDT,backtest_data/RIVER_USDT_USDT.csv,8652
VANA/USDT:USDT,backtest_data/VANA_USDT_USDT.csv,8652
SIREN/USDT:USDT,backtest_data/SIREN_USDT_USDT.csv,8652
WLFI/USDT:USDT,backtest_data/WLFI_USDT_USDT.csv,8652
PAXG/USDT:USDT,backtest_data/PAXG_USDT_USDT.csv,8652
BCH/USDT:USDT,backtest_data/BCH_USDT_USDT.csv,8652
ZIL/USDT:USDT,backtest_data/ZIL_USDT_USDT.csv,8652
MOCA/USDT:USDT,backtest_data/MOCA_USDT_USDT.csv,8652
LTC/USDT:USDT,backtest_data/LTC_USDT_USDT.csv,8652
ENA/USDT:USDT,backtest_data/ENA_USDT_USDT.csv,8652
AVAX/USDT:USDT,backtest_data/AVAX_USDT_USDT.csv,8652
DUSK/USDT:USDT,backtest_data/DUSK_USDT_USDT.csv,8652
TAO/USDT:USDT,backtest_data/TAO_USDT_USDT.csv,8652
ARB/USDT:USDT,backtest_data/ARB_USDT_USDT.csv,8652
HBAR/USDT:USDT,backtest_data/HBAR_USDT_USDT.csv,8652
AAVE/USDT:USDT,backtest_data/AAVE_USDT_USDT.csv,8652
WIF/USDT:USDT,backtest_data/WIF_USDT_USDT.csv,8652
NEAR/USDT:USDT,backtest_data/NEAR_USDT_USDT.csv,8652
PUMPFUN/USDT:USDT,backtest_data/PUMPFUN_USDT_USDT.csv,8652
ARC/USDT:USDT,backtest_data/ARC_USDT_USDT.csv,8652
CTC/USDT:USDT,backtest_data/CTC_USDT_USDT.csv,8652
LA/USDT:USDT,backtest_data/LA_USDT_USDT.csv,8652
CRV/USDT:USDT,backtest_data/CRV_USDT_USDT.csv,8652
DOT/USDT:USDT,backtest_data/DOT_USDT_USDT.csv,8652
XMR/USDT:USDT,backtest_data/XMR_USDT_USDT.csv,8652
FIGHT/USDT:USDT,backtest_data/FIGHT_USDT_USDT.csv,1671
ZRO/USDT:USDT,backtest_data/ZRO_USDT_USDT.csv,8652
WHITEWHALE/USDT:USDT,backtest_data/WHITEWHALE_USDT_USDT.csv,3302
KITE/USDT:USDT,backtest_data/KITE_USDT_USDT.csv,8652
TRIA/USDT:USDT,backtest_data/TRIA_USDT_USDT.csv,430
XPL/USDT:USDT,backtest_data/XPL_USDT_USDT.csv,8652
BIRB/USDT:USDT,backtest_data/BIRB_USDT_USDT.csv,1193
APT/USDT:USDT,backtest_data/APT_USDT_USDT.csv,8652
ONDO/USDT:USDT,backtest_data/ONDO_USDT_USDT.csv,8652
VIRTUAL/USDT:USDT,backtest_data/VIRTUAL_USDT_USDT.csv,8652
TRUMP/USDT:USDT,backtest_data/TRUMP_USDT_USDT.csv,8652
RESOLV/USDT:USDT,backtest_data/RESOLV_USDT_USDT.csv,8652
PTB/USDT:USDT,backtest_data/PTB_USDT_USDT.csv,8652
ELSA/USDT:USDT,backtest_data/ELSA_USDT_USDT.csv,1785
PENGU/USDT:USDT,backtest_data/PENGU_USDT_USDT.csv,8652
ICP/USDT:USDT,backtest_data/ICP_USDT_USDT.csv,8652
SKR/USDT:USDT,backtest_data/SKR_USDT_USDT.csv,1960
TON/USDT:USDT,backtest_data/TON_USDT_USDT.csv,8652
H/USDT:USDT,backtest_data/H_USDT_USDT.csv,8652
IP/USDT:USDT,backtest_data/IP_USDT_USDT.csv,8652
SOMI/USDT:USDT,backtest_data/SOMI_USDT_USDT.csv,8652
ZK/USDT:USDT,backtest_data/ZK_USDT_USDT.csv,8652
POL/USDT:USDT,backtest_data/POL_USDT_USDT.csv,8652
1000BONK/USDT:USDT,backtest_data/1000BONK_USDT_USDT.csv,8652
OP/USDT:USDT,backtest_data/OP_USDT_USDT.csv,8652
WLD/USDT:USDT,backtest_data/WLD_USDT_USDT.csv,8652
UNI/USDT:USDT,backtest_data/UNI_USDT_USDT.csv,8652
GALA/USDT:USDT,backtest_data/GALA_USDT_USDT.csv,8652
XLM/USDT:USDT,backtest_data/XLM_USDT_USDT.csv,8652
SHIB1000/USDT:USDT,backtest_data/SHIB1000_USDT_USDT.csv,8652
SENT/USDT:USDT,backtest_data/SENT_USDT_USDT.csv,8310
FIL/USDT:USDT,backtest_data/FIL_USDT_USDT.csv,8652
M/USDT:USDT,backtest_data/M_USDT_USDT.csv,8652
ENSO/USDT:USDT,backtest_data/ENSO_USDT_USDT.csv,8652
SEI/USDT:USDT,backtest_data/SEI_USDT_USDT.csv,8652
STRK/USDT:USDT,backtest_data/STRK_USDT_USDT.csv,8652
LIT/USDT:USDT,backtest_data/LIT_USDT_USDT.csv,3968
ROSE/USDT:USDT,backtest_data/ROSE_USDT_USDT.csv,8652
TRUTH/USDT:USDT,backtest_data/TRUTH_USDT_USDT.csv,8652
F/USDT:USDT,backtest_data/F_USDT_USDT.csv,8652
ATOM/USDT:USDT,backtest_data/ATOM_USDT_USDT.csv,8652
TRX/USDT:USDT,backtest_data/TRX_USDT_USDT.csv,8652
ICX/USDT:USDT,backtest_data/ICX_USDT_USDT.csv,8652
BREV/USDT:USDT,backtest_data/BREV_USDT_USDT.csv,3967
FLOW/USDT:USDT,backtest_data/FLOW_USDT_USDT.csv,8652
DASH/USDT:USDT,backtest_data/DASH_USDT_USDT.csv,8652
SAND/USDT:USDT,backtest_data/SAND_USDT_USDT.csv,8652
MYX/USDT:USDT,backtest_data/MYX_USDT_USDT.csv,8652
FHE/USDT:USDT,backtest_data/FHE_USDT_USDT.csv,3221
POWER/USDT:USDT,backtest_data/POWER_USDT_USDT.csv,4076
MNT/USDT:USDT,backtest_data/MNT_USDT_USDT.csv,8652
MON/USDT:USDT,backtest_data/MON_USDT_USDT.csv,7367
RENDER/USDT:USDT,backtest_data/RENDER_USDT_USDT.csv,8652
WCT/USDT:USDT,backtest_data/WCT_USDT_USDT.csv,8652
ACU/USDT:USDT,backtest_data/ACU_USDT_USDT.csv,1686
