symbol,entry_time,exit_time,side,pnl_usd,result,setup,rvol,adx
IP/USDT,2026-01-16 19:00:00,2026-01-16 19:45:00,SHORT,2.046385092352367,TIME EXIT,SNIPER_SHORT,2.479273534682609,31.29921932423816
CLO/USDT,2026-01-16 17:30:00,2026-01-16 23:30:00,LONG,33.154886412450246,TRAILING STOP,SNIPER_LONG,3.1345325944091,40.49712267204206
CLO/USDT,2026-01-16 23:30:00,2026-01-16 23:45:00,SHORT,-14.775278179216707,STOP LOSS,SNIPER_SHORT,4.226538262771457,56.714872835330354
CLO/USDT,2026-01-17 00:15:00,2026-01-17 01:00:00,SHORT,8.117657593262066,TIME EXIT,SNIPER_SHORT,2.1306436101332986,62.294322321951114
AXS/USDT,2026-01-17 01:30:00,2026-01-17 02:15:00,SHORT,10.454545003178307,TIME EXIT,SNIPER_SHORT,1.4700137833965463,44.87116121457693
AXS/USDT,2026-01-17 07:00:00,2026-01-17 07:45:00,SHORT,-2.10965088720815,TIME EXIT,SNIPER_SHORT,1.2899626057711284,48.381748218426786
NAORIS/USDT,2026-01-16 17:45:00,2026-01-17 08:30:00,LONG,-15.155660694710239,STOP LOSS,SNIPER_LONG,7.027922728529783,48.538726039513236
BTR/USDT,2026-01-16 23:45:00,2026-01-17 09:45:00,LONG,32.86342743465345,TRAILING STOP,SNIPER_LONG,2.8499962793023683,22.346298449891187
GALA/USDT,2026-01-17 09:15:00,2026-01-17 10:00:00,SHORT,1.7171143082208462,TIME EXIT,SNIPER_SHORT,2.0248744792095876,61.72482087631635
AXS/USDT,2026-01-17 09:30:00,2026-01-17 10:15:00,SHORT,-3.653187495431356,TIME EXIT,SNIPER_SHORT,1.7448485111228385,58.55626682467506
BTR/USDT,2026-01-17 10:15:00,2026-01-17 11:00:00,SHORT,-2.01297212321368,TIME EXIT,SNIPER_SHORT,0.989519195497862,32.88180376859698
PUMPFUN/USDT,2026-01-17 09:45:00,2026-01-17 13:00:00,LONG,-11.917783923484553,STOP LOSS,SNIPER_LONG,3.7351939210030816,23.13500078599756
AXS/USDT,2026-01-17 13:00:00,2026-01-17 15:15:00,LONG,27.96229741013968,TRAILING STOP,SNIPER_LONG,2.7155306702185733,71.76479470454035
GALA/USDT,2026-01-17 15:15:00,2026-01-17 16:00:00,SHORT,1.2192232976242605,TIME EXIT,SNIPER_SHORT,2.8103421317290675,62.47914524385029
AXS/USDT,2026-01-17 15:15:00,2026-01-17 19:45:00,LONG,-16.463565738197712,STOP LOSS,SNIPER_LONG,2.18747373302291,79.57884709305449
APEX/USDT,2026-01-17 20:00:00,2026-01-17 20:30:00,LONG,-8.262034252482755,STOP LOSS,SNIPER_LONG,8.974713190721907,28.83692060670156
AAVE/USDT,2026-01-17 08:30:00,2026-01-18 01:00:00,LONG,-4.912959498101035,STOP LOSS,SNIPER_LONG,12.603251872543032,15.72311707500473
ME/USDT,2026-01-18 02:45:00,2026-01-18 03:00:00,SHORT,-9.301593235215277,STOP LOSS,SNIPER_SHORT,1.7640501897370253,37.021515742084915
BERA/USDT,2026-01-18 01:15:00,2026-01-18 03:30:00,LONG,27.348441608524475,TRAILING STOP,SNIPER_LONG,3.988552347845166,22.260654432994315
NAORIS/USDT,2026-01-17 20:45:00,2026-01-18 04:15:00,LONG,-12.669973481800477,STOP LOSS,SNIPER_LONG,2.7569473057730165,12.381882526828353
BERA/USDT,2026-01-18 03:30:00,2026-01-18 04:15:00,SHORT,5.026693526563076,TIME EXIT,SNIPER_SHORT,0.765451615796154,38.74095421826121
RIVER/USDT,2026-01-18 06:00:00,2026-01-18 06:45:00,SHORT,-11.654977503253596,TIME EXIT,SNIPER_SHORT,1.139054762550102,27.101367512346314
RIVER/USDT,2026-01-18 07:15:00,2026-01-18 07:30:00,SHORT,2.324211508433298,BREAKEVEN,SNIPER_SHORT,0.9004634491753718,37.69743603817194
ARC/USDT,2026-01-18 05:30:00,2026-01-18 11:00:00,LONG,22.109335867864313,TRAILING STOP,SNIPER_LONG,2.641587232230542,27.75406633583963
VVV/USDT,2026-01-18 11:00:00,2026-01-18 11:45:00,SHORT,10.670718399405676,TIME EXIT,SNIPER_SHORT,1.9543330322193413,47.99697239033148
COW/USDT,2026-01-18 05:00:00,2026-01-18 12:00:00,LONG,-11.862592908197026,STOP LOSS,SNIPER_LONG,6.4129594496435915,16.221292591714075
ARC/USDT,2026-01-18 11:00:00,2026-01-18 12:00:00,LONG,-16.54317168838256,STOP LOSS,SNIPER_LONG,3.373318264484975,38.443183351440354
ME/USDT,2026-01-18 11:30:00,2026-01-18 12:15:00,SHORT,3.009845213493838,BREAKEVEN,SNIPER_SHORT,4.279509102067159,53.14189831214868
WLFI/USDT,2026-01-18 12:00:00,2026-01-18 12:00:00,LONG,-5.039551950941493,STOP LOSS,SNIPER_LONG,26.128073296132946,17.89599325908718
ME/USDT,2026-01-18 12:30:00,2026-01-18 13:15:00,SHORT,1.5475899123037336,TIME EXIT,SNIPER_SHORT,1.648045109098163,58.80741103680285
1000PEPE/USDT,2026-01-16 17:45:00,2026-01-18 14:00:00,LONG,-10.305595353596122,STOP LOSS,SNIPER_LONG,3.8578014803494325,30.34492649552279
COAI/USDT,2026-01-18 12:00:00,2026-01-18 14:30:00,LONG,-7.607543557905707,STOP LOSS,SNIPER_LONG,2.740787150424332,28.892362271399215
ENS/USDT,2026-01-18 14:30:00,2026-01-18 14:45:00,LONG,-5.267407019485385,STOP LOSS,SNIPER_LONG,4.9923530594777645,14.111468853745514
ICP/USDT,2026-01-18 17:00:00,2026-01-18 17:45:00,SHORT,8.048191503197177,TIME EXIT,SNIPER_SHORT,4.621084774741965,29.761021415375637
MUBARAK/USDT,2026-01-16 17:30:00,2026-01-18 22:00:00,LONG,22.164743486731513,TRAILING STOP,SNIPER_LONG,2.1826650301977923,30.63948189732765
IP/USDT,2026-01-18 21:45:00,2026-01-18 21:45:00,SHORT,-8.75100930855565,STOP LOSS,SNIPER_SHORT,2.0575043432528575,23.71612405331256
AXS/USDT,2026-01-18 22:00:00,2026-01-18 22:45:00,SHORT,8.408111277311686,TIME EXIT,SNIPER_SHORT,3.47685089030608,25.18359460089682
KITE/USDT,2026-01-18 12:15:00,2026-01-18 23:00:00,LONG,-7.7894688787794655,STOP LOSS,SNIPER_LONG,2.9978577695890887,22.546380311875794
APT/USDT,2026-01-18 22:15:00,2026-01-18 23:00:00,LONG,-6.139369695275815,STOP LOSS,SNIPER_LONG,2.2002854780792123,16.405805120150966
IP/USDT,2026-01-18 22:15:00,2026-01-18 23:00:00,SHORT,9.831338103161851,TIME EXIT,SNIPER_SHORT,2.643510866668599,29.72646652298155
PAXG/USDT,2026-01-18 23:15:00,2026-01-18 23:30:00,LONG,1.8693661400873693,TRAILING STOP,SNIPER_LONG,27.889711885725212,46.07656856903318
MYX/USDT,2026-01-18 14:15:00,2026-01-19 00:00:00,LONG,-10.814267858663097,STOP LOSS,SNIPER_LONG,3.554795648661579,30.64342168827668
XAUT/USDT,2026-01-18 23:15:00,2026-01-18 23:45:00,LONG,1.7972275234516066,TRAILING STOP,SNIPER_LONG,28.248303565477798,36.798431985134926
PAXG/USDT,2026-01-18 23:30:00,2026-01-19 00:15:00,LONG,-2.552374458503876,STOP LOSS,SNIPER_LONG,11.574953557123196,48.36285913803193
RIVER/USDT,2026-01-18 14:45:00,2026-01-19 06:15:00,LONG,-15.636723853004092,STOP LOSS,SNIPER_LONG,2.362965178360304,38.81493713787739
BTR/USDT,2026-01-19 00:15:00,2026-01-19 03:15:00,LONG,-20.944644385882548,STOP LOSS,SNIPER_LONG,16.866302547465537,13.571834315772966
DASH/USDT,2026-01-19 07:30:00,2026-01-19 09:15:00,LONG,-17.22523673998362,STOP LOSS,SNIPER_LONG,3.7803276507210657,21.13348948411149
COAI/USDT,2026-01-19 09:00:00,2026-01-19 09:45:00,SHORT,-9.043335041909495,TIME EXIT,SNIPER_SHORT,3.116946982302691,25.591017983643845
ICP/USDT,2026-01-19 09:00:00,2026-01-19 09:45:00,SHORT,1.8547095404516132,TIME EXIT,SNIPER_SHORT,2.8822949956621553,40.28333288969045
ARC/USDT,2026-01-19 09:30:00,2026-01-19 10:00:00,SHORT,4.263610397534282,BREAKEVEN,SNIPER_SHORT,5.437899799379522,34.89156984753855
H/USDT,2026-01-19 10:00:00,2026-01-19 12:15:00,LONG,-16.9618458082736,STOP LOSS,SNIPER_LONG,2.1292892599782096,15.612069865206738
AXS/USDT,2026-01-19 00:30:00,2026-01-19 13:15:00,LONG,-18.514957863052906,STOP LOSS,SNIPER_LONG,3.262504493216406,27.13524591404416
ARC/USDT,2026-01-19 12:00:00,2026-01-19 12:45:00,SHORT,4.1080991125710815,TIME EXIT,SNIPER_SHORT,0.76892170179889,29.228764834485272
1000TOSHI/USDT,2026-01-19 12:15:00,2026-01-19 13:00:00,SHORT,15.939654280880465,TIME EXIT,SNIPER_SHORT,3.2461663821057263,48.815665407744085
BTR/USDT,2026-01-19 13:45:00,2026-01-19 14:00:00,LONG,-17.249738862798388,STOP LOSS,SNIPER_LONG,2.320720880167015,33.115406084044494
XMR/USDT,2026-01-19 07:15:00,2026-01-19 15:45:00,LONG,-19.03712501137679,STOP LOSS,SNIPER_LONG,2.378732860839378,15.13735232909974
PIPPIN/USDT,2026-01-19 17:15:00,2026-01-19 17:15:00,LONG,-10.346341838278494,STOP LOSS,SNIPER_LONG,3.7869876292716738,25.208444767748098
PIPPIN/USDT,2026-01-19 18:15:00,2026-01-19 19:00:00,SHORT,12.826439808625544,TIME EXIT,SNIPER_SHORT,1.6279731982077548,27.567197243429945
BTR/USDT,2026-01-19 17:30:00,2026-01-19 20:00:00,LONG,25.811656395013088,TRAILING STOP,SNIPER_LONG,3.908925646528814,22.789260963807425
BTR/USDT,2026-01-19 22:15:00,2026-01-19 23:00:00,SHORT,5.169475378766546,TIME EXIT,SNIPER_SHORT,0.5153794736660253,22.043893680809063
