vol_z_threshold,adx_min,atr_mult_sl,trailing_initial_atr,trailing_tight_atr,momentum_bars,balance,drawdown,win_rate,trades,profit_pct,score
2.0,20,2.0,3.5,1.0,6,99.90335824364921,96.18115324223395,15.060240963855422,332,-90.00966417563508,-13.948869573320247
2.5,25,2.0,3.5,1.5,6,98.35674207281365,97.67779347697197,15.774647887323944,355,-90.16432579271864,-14.413683578261361
2.0,20,2.0,2.5,1.0,4,99.68021583100028,96.05546507216766,16.27906976744186,344,-90.03197841689997,-15.101023490637326
2.5,25,2.0,3.5,1.5,4,98.90398816116928,97.87468414027902,16.710875331564985,377,-90.10960118388307,-15.229482902059477
2.0,20,2.0,2.5,1.5,4,99.16787546984234,96.05042028315123,16.422287390029325,341,-90.08321245301576,-15.2433384585489
2.0,20,2.0,3.5,1.5,6,98.73014035089545,95.62502659169103,16.343490304709142,361,-90.12698596491046,-15.24438929817419
2.5,25,2.0,3.5,1.0,6,99.28240816201817,97.09412398808291,16.62049861495845,361,-90.07175918379818,-15.261235718288876
2.5,20,2.0,3.5,1.5,4,99.66629666282655,96.96380631311847,16.666666666666664,390,-90.03337033371734,-15.317454769289428
1.5,25,3.0,3.5,1.5,4,99.59834279423653,97.41328815339418,16.773162939297126,626,-90.04016572057635,-15.346081805117043
2.5,20,3.0,3.5,1.5,6,98.5061331586207,95.80421649900168,16.481069042316257,449,-90.14938668413792,-15.348073873198128
2.5,25,2.0,3.5,1.0,4,99.8559268830551,97.7469399719255,16.842105263157894,380,-90.0144073116945,-15.352699775561124
2.0,20,2.0,3.5,1.0,4,97.72570831876351,96.70071023726948,16.709511568123396,389,-90.22742916812365,-15.431374733974831
2.5,20,3.0,3.5,1.5,4,99.93264913492061,97.1931152471123,16.842105263157894,475,-90.00673508650793,-15.437975492530406
2.0,25,2.0,2.5,1.0,4,99.66058480538118,97.58910052598677,17.086834733893557,357,-90.03394151946188,-15.604109084843332
2.5,20,3.0,3.5,1.0,6,98.7573073157569,95.85487314554562,16.777041942604857,453,-90.12426926842431,-15.61117780094379
2.0,20,3.0,2.5,1.0,4,99.77078952339397,96.98191702634462,16.99604743083004,506,-90.0229210476606,-15.61547153212489
1.5,25,3.0,3.5,1.0,4,99.44752980819092,97.24510589791441,17.05790297339593,639,-90.05524701918091,-15.635930684370111
2.0,25,2.0,3.5,1.5,4,98.47073077766163,96.69418025421943,17.0316301703163,411,-90.15292692223383,-15.716916873814723
2.5,20,2.0,3.5,1.0,4,98.40797985352617,96.94791771977931,17.08542713567839,398,-90.15920201464738,-15.72681188628373
2.5,20,2.0,3.5,1.0,6,99.1152420059633,95.2389309236257,16.81159420289855,345,-90.08847579940367,-15.737195778900935
2.0,25,2.0,3.5,1.0,4,98.77291038566243,96.66216949435199,17.056074766355138,428,-90.12270896143376,-15.739356089991166
2.5,20,2.0,3.5,1.5,6,99.71824901628915,94.91153083315793,16.81159420289855,345,-90.02817509837108,-15.780346048423903
2.0,20,2.0,3.5,1.5,4,99.10343585458446,96.00187255762111,17.010309278350515,388,-90.08965641454157,-15.798178715378693
2.0,20,3.0,2.5,1.5,4,98.99763582729507,92.37208037921594,16.39676113360324,494,-90.1002364172705,-15.822203474691065
1.5,25,2.0,3.5,1.5,6,99.31235188778209,95.06143211724127,16.94510739856802,419,-90.06876481122178,-15.88800894743883
1.5,20,2.0,3.5,1.5,6,98.69619612921554,95.74174714433352,17.078651685393258,445,-90.13038038707845,-15.911490316650488
2.5,20,3.0,2.5,1.5,4,97.53702368039117,96.56855196326273,17.20647773279352,494,-90.24629763196089,-15.91517839945059
2.0,20,3.0,3.5,1.5,4,99.40573365087886,93.93752194973915,16.79245283018868,530,-90.05942663491211,-15.92962026627613
2.0,20,2.0,2.5,1.0,6,99.59267854300819,96.12594489413188,17.220543806646525,331,-90.04073214569918,-15.964327286469665
2.0,25,3.0,2.5,1.5,6,99.4284035885575,95.49927084669217,17.148362235067438,519,-90.05715964114424,-16.003569579723663
2.0,25,3.0,2.5,1.5,4,99.03458779737323,96.01163958288537,17.26078799249531,533,-90.09654122026268,-16.03041968516965
2.0,20,3.0,3.5,1.0,4,99.63935262772156,94.35229441294122,16.9811320754717,530,-90.03606473722785,-16.03437354362269
2.0,25,3.0,3.5,1.5,4,99.04764587677448,96.61288763431902,17.391304347826086,529,-90.09523541232255,-16.05191381300612
1.5,20,2.0,2.5,1.5,4,96.44705323580757,96.98677001057168,17.4934725848564,383,-90.35529467641925,-16.131033507360527
2.0,20,2.0,2.5,1.5,6,98.74230989040261,96.02532716928593,17.417417417417415,333,-90.12576901095974,-16.1788492214077
2.0,25,2.0,2.5,1.5,4,99.8905164427009,93.81445483091036,17.101449275362317,345,-90.01094835572991,-16.235052664469265
2.0,20,3.0,3.5,1.0,6,98.12274094265098,92.19920938389512,16.796875,512,-90.1877259057349,-16.25412885567527
2.0,25,3.0,2.5,1.0,4,97.32670589316791,97.23858282139412,17.744916820702404,541,-90.26732941068322,-16.3050626954961
2.5,20,3.0,2.5,1.5,6,98.69133734007593,96.8336640909347,17.768595041322314,484,-90.13086626599241,-16.369609359774483
2.0,25,3.0,2.5,1.0,6,98.05106632460932,95.46085375509695,17.523809523809526,525,-90.19489336753907,-16.385487686081667
1.5,25,3.0,3.5,1.5,6,99.48249772599843,97.0334923165672,17.85123966942149,605,-90.05175022740016,-16.397818112703664
1.5,20,2.0,3.5,1.0,6,99.46987811077747,95.56972786040849,17.59465478841871,449,-90.05301218892225,-16.4073327866438
1.5,20,3.0,2.5,1.5,4,99.93847582879597,93.54477799326082,17.235188509874327,557,-90.0061524171204,-16.407812645856826
1.5,25,2.0,2.5,1.5,6,99.00468443900431,95.13718945905397,17.534246575342465,365,-90.09953155609956,-16.433051678719686
2.0,25,3.0,3.5,1.0,4,99.47246245006569,97.24620745277309,17.985611510791365,556,-90.05275375499343,-16.48566277016685
1.5,20,2.0,2.5,1.5,6,99.7868799858576,97.02583678088544,17.955801104972377,362,-90.02131200141424,-16.489578937430178
2.0,25,2.0,3.5,1.0,6,99.60014973537317,92.30541651197733,17.21698113207547,424,-90.03998502646269,-16.61443441639821
2.0,25,2.0,3.5,1.5,6,99.0553862585463,92.19885709046275,17.1990171990172,407,-90.09446137414537,-16.626128678875016
1.5,20,2.0,2.5,1.0,4,97.61473785749362,95.42873409909137,17.794486215538846,399,-90.23852621425064,-16.652175576420376
2.5,25,2.0,2.5,1.5,6,99.24736964487867,95.68229226573081,17.888563049853374,341,-90.07526303551214,-16.666102802095224
2.0,20,3.0,3.5,1.5,6,99.32591394528271,91.61095835051319,17.2147001934236,517,-90.06740860547173,-16.741900353449747
2.0,25,3.0,3.5,1.5,6,99.85311213813225,95.2202693728294,17.929759704251385,541,-90.01468878618678,-16.773406999472027
2.0,25,2.0,2.5,1.0,6,98.83704809483419,97.45495071392885,18.384401114206128,359,-90.11629519051658,-16.82733174609447
1.5,25,2.0,2.5,1.5,4,99.13679534124341,94.9555649194045,17.934782608695652,368,-90.08632046587566,-16.837778766972182
2.5,25,3.0,2.5,1.5,6,99.13268749116818,95.90374563782133,18.140589569160998,441,-90.08673125088318,-16.864429816340827
1.5,25,2.0,3.5,1.5,4,98.32627919218899,94.71976589256485,17.913385826771652,508,-90.1673720807811,-16.874288293621632
2.5,20,2.0,2.5,1.0,4,99.69753844280687,96.73560789408627,18.33810888252149,349,-90.03024615571931,-16.892353690713467
2.0,25,2.0,2.5,1.5,6,98.10876770451209,93.83425737011136,17.765042979942695,349,-90.1891232295488,-16.89488266084369
1.5,20,3.0,2.5,1.5,6,98.77164734456004,93.68558804514358,17.77777777777778,540,-90.122835265544,-16.921094024258863
1.5,25,2.0,2.5,1.0,4,99.12311725100095,94.77536568383228,17.989417989417987,378,-90.0876882748999,-16.921105636155666
2.5,20,3.0,3.5,1.0,4,99.84506766073177,97.10613895417663,18.467583497053045,509,-90.01549323392683,-16.944593427557226
1.5,25,2.0,2.5,1.0,6,99.310277706689,95.06494663118929,18.085106382978726,376,-90.0689722293311,-16.956309264675678
1.5,25,3.0,3.5,1.0,6,98.73112548826595,96.86780461060222,18.50079744816587,627,-90.12688745117342,-17.037464935503078
2.5,20,3.0,2.5,1.0,4,98.9539569888904,96.46500839237815,18.452380952380953,504,-90.10460430111097,-17.058886174144764
1.5,25,3.0,2.5,1.5,4,99.99586474143786,96.23898067378369,18.438538205980066,602,-90.00041352585622,-17.065954947817666
1.5,20,3.0,2.5,1.0,6,99.7806561387138,93.32159668531003,17.94871794871795,546,-90.02193438612862,-17.130523297706887
1.5,20,2.0,3.5,1.5,4,99.64714120495313,96.73605797822886,18.6046511627907,473,-90.03528587950468,-17.13876250772719
2.5,20,3.0,2.5,1.0,6,99.22684185217295,95.98221585119462,18.464730290456433,482,-90.07731581478271,-17.15008599473798
1.5,25,2.0,3.5,1.0,4,99.34840686507965,94.54544529130112,18.199608610567513,511,-90.06515931349205,-17.155717302446863
2.5,20,2.0,2.5,1.5,4,99.92868441232633,95.06794257391907,18.313953488372093,344,-90.00713155876737,-17.15854817772026
1.5,20,2.0,3.5,1.0,4,99.72352078395876,96.6889739255486,18.658280922431867,477,-90.02764792160413,-17.194992210556645
1.5,20,3.0,2.5,1.0,4,98.66817179728275,93.05925316127177,18.038528896672503,571,-90.13318282027173,-17.285593582854194
2.5,20,2.0,2.5,1.5,6,99.47203443627905,95.28999892113531,18.495297805642632,319,-90.0527965563721,-17.297261493430845
1.5,25,3.0,2.5,1.5,6,99.98173016653942,96.19175629340647,18.70748299319728,588,-90.00182698334606,-17.32356438302015
2.5,25,2.0,2.5,1.5,4,97.15304635179832,90.6772451434356,17.613636363636363,352,-90.28469536482017,-17.346090525185186
1.5,25,2.0,3.5,1.0,6,99.51598532986455,94.58021223095545,18.442622950819672,488,-90.04840146701355,-17.37523569802568
1.5,20,2.0,2.5,1.0,6,99.94366714451255,94.66218387163023,18.478260869565215,368,-90.00563328554874,-17.385632485795863
2.0,20,3.0,2.5,1.0,6,99.7080613506865,96.83712781674919,18.89763779527559,508,-90.02919386493134,-17.38950370504294
2.0,25,3.0,3.5,1.0,6,80.03631681836072,97.10047142430228,18.63799283154122,558,-91.99636831816392,-17.478281483742215
2.5,20,2.0,2.5,1.0,6,98.94883767138882,95.16656586579344,18.711656441717793,326,-90.10511623286112,-17.53224692398072
2.5,25,3.0,3.5,1.5,6,70.37322183320383,96.04358667929547,18.30985915492958,426,-92.96267781667962,-17.53988692847495
1.5,20,3.0,3.5,1.5,4,99.95305580874656,91.82685178411892,18.140243902439025,656,-90.00469441912534,-17.588737286108785
2.5,25,3.0,2.5,1.0,6,99.8602511126612,95.80569026880865,18.91891891891892,444,-90.01397488873388,-17.59160115237839
2.5,25,3.0,3.5,1.0,6,78.41252166467362,95.84678108381028,18.6046511627907,430,-92.15874783353264,-17.704061362232427
2.5,25,2.0,2.5,1.0,6,97.25343297146561,95.61578649783607,19.07514450867052,346,-90.27465670285343,-17.823196234252247
1.5,25,3.0,2.5,1.0,6,99.41629216886211,97.47241379997787,19.51219512195122,615,-90.05837078311379,-17.84496221098565
2.5,25,3.0,2.5,1.5,4,93.00939525496702,96.37681276081548,19.181034482758623,464,-90.6990604745033,-17.865667988009104
2.5,25,2.0,2.5,1.0,4,98.33206698988054,90.56410694764637,18.156424581005588,358,-90.16679330101195,-17.87934854447925
1.5,20,3.0,3.5,1.5,6,99.76298340635644,96.8224688607115,19.444444444444446,648,-90.02370165936436,-17.894261778357045
1.5,25,3.0,2.5,1.0,4,99.94687210280406,95.87264453367321,19.26163723916533,623,-90.0053127897196,-17.89617381561794
1.5,20,3.0,3.5,1.0,6,99.38928759855571,96.89861587173533,19.5046439628483,646,-90.06107124014443,-17.9431457105911
1.5,20,3.0,3.5,1.0,4,99.28029624453355,91.73029823853292,18.608169440242055,661,-90.07197037554664,-18.074723347197892
2.0,20,3.0,2.5,1.5,6,98.90369931481455,91.92760225599794,18.725099601593627,502,-90.10963006851856,-18.15727251250432
2.5,25,3.0,3.5,1.5,4,81.74843667625868,95.49816668173445,19.27437641723356,441,-91.82515633237412,-18.340997436343063
2.5,25,3.0,2.5,1.0,4,94.50991952448761,96.34265173734472,19.78494623655914,465,-90.54900804755124,-18.404134508565733
2.5,25,3.0,3.5,1.0,4,86.30896884219318,95.29830551767398,19.457013574660635,442,-91.36910311578069,-18.461071252204242
