long_rvol,long_body,short_dist,short_rsi,atr_mult_sl,atr_mult_tp,balance,drawdown,win_rate,trades,score
1.8,0.4,5.0,75,3.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,0.4,5.0,75,3.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,0.4,5.0,75,2.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,0.4,5.0,75,2.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,0.8,5.0,75,3.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,0.8,5.0,75,3.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,0.8,5.0,75,2.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,0.8,5.0,75,2.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,1.2,5.0,75,2.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,1.2,5.0,75,2.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,1.2,5.0,75,3.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
1.8,1.2,5.0,75,3.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,1.2,5.0,75,2.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,1.2,5.0,75,2.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,1.2,5.0,75,3.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,1.2,5.0,75,3.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,0.8,5.0,75,2.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,0.8,5.0,75,2.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,0.8,5.0,75,3.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,0.8,5.0,75,3.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,0.4,5.0,75,2.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,0.4,5.0,75,2.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,0.4,5.0,75,3.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,0.4,5.0,75,3.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,0.4,5.0,75,2.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,0.4,5.0,75,2.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,0.4,5.0,75,3.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,0.4,5.0,75,3.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,0.8,5.0,75,2.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,0.8,5.0,75,2.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,0.8,5.0,75,3.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,0.8,5.0,75,3.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,1.2,5.0,75,2.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,1.2,5.0,75,2.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,1.2,5.0,75,3.5,5.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.6,1.2,5.0,75,3.5,8.0,713.6549798278188,61.66065132690607,43.36283185840708,113,-1.9815834499452152
2.2,0.4,4.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
