vol_z_threshold,adx_min,atr_mult_sl,trailing_start_atr,momentum_bars,balance,drawdown,win_rate,trades,profit_pct,score
2.5,20,2.5,4.0,4,98.49488142634178,94.5312446632874,14.366197183098592,355,-90.15051185736583,-13.557030833891135
1.5,20,2.5,4.0,4,98.06724549895358,94.7358835419948,16.297786720321934,497,-90.19327545010465,-15.354229913679715
2.5,20,3.5,4.0,4,73.6755638741511,95.83818200850888,16.11253196930946,391,-92.6324436125849,-15.41275536308483
2.5,20,2.5,3.0,4,99.33629709930327,92.41359349979459,16.666666666666664,312,-90.06637029006967,-16.069461790959384
2.5,30,2.5,4.0,4,112.5465070292485,85.96223812069793,15.887850467289718,214,-88.74534929707515,-16.213621794581393
2.5,30,3.5,4.0,4,128.85674907078433,84.41073564095673,16.19047619047619,210,-87.11432509292158,-16.513408948909863
1.5,20,2.5,3.0,4,98.03296721801996,94.84162808349404,17.787418655097614,461,-90.196703278198,-16.739766994789072
1.5,20,3.5,4.0,4,74.69856138176092,95.22732142283348,17.428087986463623,591,-92.53014386182392,-16.758478411115263
1.5,20,3.5,3.0,4,98.69234894716041,95.29601481339046,18.478260869565215,552,-90.13076510528396,-17.295209913062276
2.5,20,2.5,4.0,8,48.526503099006106,96.99423544185014,18.26625386996904,323,-95.14734969009939,-17.73559063609816
2.5,20,2.5,3.0,8,98.90451795928249,91.95853613188201,18.439716312056735,282,-90.10954820407176,-17.87457693539138
2.5,20,3.5,3.0,4,73.08327647962892,95.67707593945912,18.76606683804627,389,-92.6916723520371,-17.992456865140326
2.5,20,3.5,4.0,8,99.2432602878153,96.01247198380231,20.178041543026705,337,-90.07567397121848,-18.73522707174025
1.5,30,3.5,4.0,4,125.52356835007335,89.35001119768351,19.94818652849741,386,-87.44764316499267,-19.30737887254939
1.5,30,2.5,4.0,4,105.50902345655274,88.88261421180383,19.896640826873384,387,-89.44909765434473,-19.800676514843687
2.5,30,2.5,3.0,4,98.06455939736594,87.14233566588163,19.444444444444446,216,-90.1935440602634,-19.896946722347813
2.5,30,3.5,3.0,4,123.6940771016458,84.89453349294249,20.0,210,-87.63059228983542,-20.404230333711652
2.5,20,3.5,3.0,8,80.96408406199143,96.84754185248235,22.123893805309734,339,-91.90359159380085,-20.779932354490963
1.5,20,2.5,4.0,8,58.87724472332767,96.47820327291934,21.560574948665298,487,-94.11227552766724,-20.816087104340603
1.5,20,3.5,4.0,8,71.7154960257497,95.89404753925224,22.107438016528928,484,-92.82845039742503,-21.17982750694926
2.5,30,2.5,4.0,8,149.39171365322363,83.56764199487479,22.22222222222222,198,-85.06082863467763,-22.35181910878782
1.5,30,3.5,3.0,4,100.23656061726561,88.20168904325601,22.25,400,-89.97634393827344,-22.443225841337824
1.5,30,2.5,3.0,4,73.8560242512176,89.71655810098302,22.084367245657567,403,-92.61439757487824,-22.54638415626557
1.5,20,2.5,3.0,8,94.08030467804105,93.82932636190642,23.809523809523807,462,-90.59196953219589,-22.745618241520432
2.5,30,3.5,4.0,8,165.5336217994795,82.98494543059793,22.916666666666664,192,-83.44663782005205,-22.76978062641551
1.5,20,3.5,3.0,8,82.02153213280863,94.63903868418578,24.50592885375494,506,-91.79784678671913,-23.52168667976389
1.5,30,2.5,4.0,8,188.02987584407063,90.93586897733384,28.18181818181818,330,-81.19701241559294,-24.889952814469325
2.5,30,2.5,3.0,8,118.06177526308682,85.27907844253689,24.752475247524753,202,-88.19382247369131,-25.30179328721686
1.5,30,3.5,3.0,8,233.16958789314376,87.52640877517314,29.61876832844575,341,-76.68304121068562,-25.65626759025291
1.5,30,3.5,4.0,8,215.42503017758844,85.66876763257308,28.34890965732087,321,-78.45749698224115,-25.66304511584119
2.5,30,3.5,3.0,8,144.89673120828166,84.07377489000112,25.773195876288657,194,-85.51032687917184,-25.90544979286434
1.5,30,2.5,3.0,8,115.1707366459607,91.13945197440722,28.735632183908045,348,-88.48292633540393,-27.59526751294589
